name(‘å•¶Žš),x,y,population(–œ),space(km^2),The population density
SAITAMA,8,14,732,5173,1457
IBARAKI,8,15,288,6097,472
SEA,8,1,0,0,0
SEA,9,2,0,0,0
SEA,9,3,0,0,0
SEA,9,4,0,0,0
YAMAGUCHI,9,5,137,6113,224
HIROSHIMA,9,6,282,8480,333
OKAYAMA,9,7,190,7114,267
HYOGO,9,8,548,8401,653
OSAKA,9,9,882,1905,4632
NARA,9,10,134,3691,363
MIE,9,11,179,5774,310
AICHI,9,12,754,5173,1457
SHIZUOKA,9,13,366,7777,470
TOKYO,9,14,1384,2194,6309
CHIBA,9,15,627,5158,1215
SEA,9,1,0,0,0
SEA,10,2,0,0,0
SEA,10,3,0,0,0
SEA,10,4,0,0,0
SEA,10,5,0,0,0
SEA,10,6,0,0,0
SEA,10,7,0,0,0
SEA,10,8,0,0,0
SEA,10,9,0,0,0
WAKAYAMA,10,10,93,4724,198
SEA,10,11,0,0,0
SEA,10,12,0,0,0
SEA,10,13,0,0,0
KANAGAWA,10,14,918,2416,3799
SEA,10,15,0,0,0
SEA,10,1,0,0,0
SAGA,11,2,82,2441,336
FUKUOKA,11,3,511,4986,1025
OITA,11,4,114,6341,180
SEA,11,5,0,0,0
EHIME,11,6,135,5676,238
KAWAGA,11,7,96,1877,513
SEA,11,8,0,0,0
SEA,11,9,0,0,0
SEA,11,10,0,0,0
SEA,11,11,0,0,0
SEA,11,12,0,0,0
SEA,11,13,0,0,0
SEA,11,14,0,0,0
SEA,11,15,0,0,0
SEA,11,1,0,0,0
NAGASAKI,12,2,134,4131,324
KUMAMOTO,12,3,176,7410,237
MIYAZAKI,12,4,108,7735,140
SEA,12,5,0,0,0
KOCHI,12,6,71,7104,99
TOKUSHIMA,12,7,74,4147,178
SEA,12,8,0,0,0
SEA,12,9,0,0,0
SEA,12,10,0,0,0
SEA,12,11,0,0,0
SEA,12,12,0,0,0
SEA,12,13,0,0,0
SEA,12,14,0,0,0
SEA,12,15,0,0,0
SEA,13,1,0,0,0
SEA,13,2,0,0,0
KAGOSHIMA,13,3,161,9187,176
SEA,13,4,0,0,0
SEA,13,5,0,0,0
SEA,13,6,0,0,0
SEA,13,7,0,0,0
SEA,13,8,0,0,0
SEA,13,9,0,0,0
SEA,13,10,0,0,0
SEA,13,11,0,0,0
SEA,13,12,0,0,0
SEA,13,13,0,0,0
SEA,13,14,0,0,0
SEA,13,15,0,0,0
SEA,14,1,0,0,0
SEA,14,2,0,0,0
SEA,14,3,0,0,0
SEA,14,4,0,0,0
SEA,14,5,0,0,0
SEA,14,6,0,0,0
SEA,14,7,0,0,0
SEA,14,8,0,0,0
SEA,14,9,0,0,0
SEA,14,10,0,0,0
SEA,14,11,0,0,0
SEA,14,12,0,0,0
SEA,14,13,0,0,0
SEA,14,14,0,0,0
SEA,14,15,0,0,0
OKINAWA,15,1,145,2281,635
SEA,15,2,0,0,0
SEA,15,3,0,0,0
SEA,15,4,0,0,0
SEA,15,5,0,0,0
SEA,15,6,0,0,0
SEA,15,7,0,0,0
SEA,15,8,0,0,0
SEA,15,9,0,0,0
SEA,15,10,0,0,0
SEA,15,11,0,0,0
SEA,15,12,0,0,0
SEA,15,13,0,0,0
SEA,15,14,0,0,0
SEA,15,15,0,0,0
