x,y,name(‘å•¶Žš),population(–œ),space(km^2),The population density,station number,activity,,,,,,,,,,,,
4,10,SEA,0,0,0,0,0,,,,,,,,,,,,
4,11,SEA,0,0,0,0,0,,,,,,,,,,,,
4,12,SEA,0,0,0,0,0,,,,,,,,,,,,
4,13,SEA,0,0,0,0,0,,,,,,,,,,,,
4,14,AKITA,98,11638,84,147,0.874,,,,,,,,,,,,
4,15,IWATE,124,15275,81,197,0.98,,,,,,,,,,,,
4,1,SEA,0,0,0,0,0,,,,,,,,,,,,
5,2,SEA,0,0,0,0,0,,,,,,,,,,,,
5,3,SEA,0,0,0,0,0,,,,,,,,,,,,
5,4,SEA,0,0,0,0,0,,,,,,,,,,,,
5,5,SEA,0,0,0,0,0,,,,,,,,,,,,
5,6,SEA,0,0,0,0,0,,,,,,,,,,,,
5,7,SEA,0,0,0,0,0,,,,,,,,,,,,
5,8,SEA,0,0,0,0,0,,,,,,,,,,,,
5,9,SEA,0,0,0,0,0,,,,,,,,,,,,
5,10,SEA,0,0,0,0,0,,,,,,,,,,,,
5,11,SEA,0,0,0,0,0,,,,,,,,,,,,
5,12,SEA,0,0,0,0,0,,,,,,,,,,,,
5,13,SEA,0,0,0,0,0,,,,,,,,,,,,
5,14,YAMAGATA,109,9323,117,122,0.958,,,,,,,,,,,,
5,15,MIYAGI,231,7282,318,179,1.184,,,,,,,,,,,,
5,1,SEA,0,0,0,0,0,,,,,,,,,,,,
6,2,SEA,0,0,0,0,0,,,,,,,,,,,,
6,3,SEA,0,0,0,0,0,,,,,,,,,,,,
6,4,SEA,0,0,0,0,0,,,,,,,,,,,,
6,5,SEA,0,0,0,0,0,,,,,,,,,,,,
6,6,SEA,0,0,0,0,0,,,,,,,,,,,,
6,7,SEA,0,0,0,0,0,,,,,,,,,,,,
6,8,SEA,0,0,0,0,0,,,,,,,,,,,,
6,9,SEA,0,0,0,0,0,,,,,,,,,,,,
6,10,SEA,0,0,0,0,0,,,,,,,,,,,,
6,11,SEA,0,0,0,0,0,,,,,,,,,,,,
6,12,SEA,0,0,0,0,0,,,,,,,,,,,,
6,13,SEA,0,0,0,0,0,,,,,,,,,,,,
6,14,NIIGATA,224,12584,178,210,1.007,,,,,,,,,,,,
6,15,FUKUSHIMA,187,13784,135,190,1.031,,,,,,,,,,,,
6,1,SEA,0,0,0,0,0,,,,,,,,,,,,
7,2,SEA,0,0,0,0,0,,,,,,,,,,,,
7,3,SEA,0,0,0,0,0,,,,,,,,,,,,
7,4,SEA,0,0,0,0,0,,,,,,,,,,,,
7,5,SEA,0,0,0,0,0,,,,,,,,,,,,
7,6,SEA,0,0,0,0,0,,,,,,,,,,,,
7,7,SEA,0,0,0,0,0,,,,,,,,,,,,
7,8,SEA,0,0,0,0,0,,,,,,,,,,,,
7,9,SEA,0,0,0,0,0,,,,,,,,,,,,
7,10,FUKUI,77,4191,185,130,1.034,,,,,,,,,,,,
7,11,ISHIGAWA,114,4186,273,77,1.101,,,,,,,,,,,,
7,12,TOYAMA,105,4248,247,192,1.007,,,,,,,,,,,,
7,13,GUMMA,195,6362,306,138,1.097,,,,,,,,,,,,
7,14,TOCHIGI,195,6408,305,118,1.146,,,,,,,,,,,,
7,15,SEA,0,0,0,0,0,,,,,,,,,,,,
7,1,SEA,0,0,0,0,0,,,,,,,,,,,,
8,2,SEA,0,0,0,0,0,,,,,,,,,,,,
8,3,SEA,0,0,0,0,0,,,,,,,,,,,,
8,4,SEA,0,0,0,0,0,,,,,,,,,,,,
8,5,SEA,0,0,0,0,0,,,,,,,,,,,,
8,6,SHIMANE,68,6708,101,118,0.893,,,,,,,,,,,,
8,7,TOTTORI,56,3507,160,75,0.979,,,,,,,,,,,,
8,8,SEA,0,0,0,0,0,,,,,,,,,,,,
8,9,KYOTO,259,4612,562,248,1.175,,,,,,,,,,,,
8,10,SHIGA,142,4017,351,125,1.211,,,,,,,,,,,,
8,11,GIFU,200,10621,188,187,1.069,,,,,,,,,,,,
8,12,NAGANO,206,13561,152,265,1,,,,,,,,,,,,
8,13,YAMANASHI,82,4465,183,73,1.075,,,,,,,,,,,,
8,14,SAITAMA,732,5173,1457,239,1.269,,,,,,,,,,,,
8,15,IBARAKI,288,6097,472,136,1.119,,,,,,,,,,,,
8,1,SEA,0,0,0,0,0,,,,,,,,,,,,
9,2,SEA,0,0,0,0,0,,,,,,,,,,,,
9,3,SEA,0,0,0,0,0,,,,,,,,,,,,
9,4,SEA,0,0,0,0,0,,,,,,,,,,,,
9,5,YAMAGUCHI,137,6113,224,156,0.923,,,,,,,,,,,,
9,6,HIROSHIMA,282,8480,333,259,1.101,,,,,,,,,,,,
9,7,OKAYAMA,190,7114,267,167,1.06,,,,,,,,,,,,
9,8,HYOGO,548,8401,653,381,1.136,,,,,,,,,,,,
9,9,OSAKA,882,1905,4632,513,1.233,,,,,,,,,,,,
9,10,NARA,134,3691,363,131,1.061,,,,,,,,,,,,
9,11,MIE,179,5774,310,235,1.095,,,,,,,,,,,,
9,12,AICHI,754,5173,1457,497,1.302,,,,,,,,,,,,
9,13,SHIZUOKA,366,7777,470,228,1.085,,,,,,,,,,,,
9,14,TOKYO,1384,2194,6309,717,1.539,,,,,,,,,,,,
9,15,CHIBA,627,5158,1215,351,1.219,,,,,,,,,,,,
9,1,SEA,0,0,0,0,0,,,,,,,,,,,,
10,2,SEA,0,0,0,0,0,,,,,,,,,,,,
10,3,SEA,0,0,0,0,0,,,,,,,,,,,,
10,4,SEA,0,0,0,0,0,,,,,,,,,,,,
10,5,SEA,0,0,0,0,0,,,,,,,,,,,,
10,6,SEA,0,0,0,0,0,,,,,,,,,,,,
10,7,SEA,0,0,0,0,0,,,,,,,,,,,,
10,8,SEA,0,0,0,0,0,,,,,,,,,,,,
10,9,SEA,0,0,0,0,0,,,,,,,,,,,,
10,10,WAKAYAMA,93,4724,198,125,0.979,,,,,,,,,,,,
10,11,SEA,0,0,0,0,0,,,,,,,,,,,,
10,12,SEA,0,0,0,0,0,,,,,,,,,,,,
10,13,SEA,0,0,0,0,0,,,,,,,,,,,,
10,14,KANAGAWA,918,2416,3799,369,1.356,,,,,,,,,,,,
10,15,SEA,0,0,0,0,0,,,,,,,,,,,,
10,1,SEA,0,0,0,0,0,,,,,,,,,,,,
11,2,SAGA,82,2441,336,81,1.012,,,,,,,,,,,,
11,3,FUKUOKA,511,4986,1025,357,1.145,,,,,,,,,,,,
11,4,OITA,114,6341,180,87,0.963,,,,,,,,,,,,
11,5,SEA,0,0,0,0,0,,,,,,,,,,,,
11,6,EHIME,135,5676,238,148,0.973,,,,,,,,,,,,
11,7,KAGAWA,96,1877,513,102,1,,,,,,,,,,,,
11,8,SEA,0,0,0,0,0,,,,,,,,,,,,
11,9,SEA,0,0,0,0,0,,,,,,,,,,,,
11,10,SEA,0,0,0,0,0,,,,,,,,,,,,
11,11,SEA,0,0,0,0,0,,,,,,,,,,,,
11,12,SEA,0,0,0,0,0,,,,,,,,,,,,
11,13,SEA,0,0,0,0,0,,,,,,,,,,,,
11,14,SEA,0,0,0,0,0,,,,,,,,,,,,
11,15,SEA,0,0,0,0,0,,,,,,,,,,,,
11,1,SEA,0,0,0,0,0,,,,,,,,,,,,
12,2,NAGASAKI,134,4131,324,136,0.957,,,,,,,,,,,,
12,3,KUMAMOTO,176,7410,237,163,0.988,,,,,,,,,,,,
12,4,MIYAZAKI,108,7735,140,76,0.94,,,,,,,,,,,,
12,5,SEA,0,0,0,0,0,,,,,,,,,,,,
12,6,KOCHI,71,7104,99,173,0.915,,,,,,,,,,,,
12,7,TOKUSHIMA,74,4147,178,77,0.963,,,,,,,,,,,,
12,8,SEA,0,0,0,0,0,,,,,,,,,,,,
12,9,SEA,0,0,0,0,0,,,,,,,,,,,,
12,10,SEA,0,0,0,0,0,,,,,,,,,,,,
12,11,SEA,0,0,0,0,0,,,,,,,,,,,,
12,12,SEA,0,0,0,0,0,,,,,,,,,,,,
12,13,SEA,0,0,0,0,0,,,,,,,,,,,,
12,14,SEA,0,0,0,0,0,,,,,,,,,,,,
12,15,SEA,0,0,0,0,0,,,,,,,,,,,,
13,1,SEA,0,0,0,0,0,,,,,,,,,,,,
13,2,SEA,0,0,0,0,0,,,,,,,,,,,,
13,3,KAGOSHIMA,161,9187,176,126,0.942,,,,,,,,,,,,
13,4,SEA,0,0,0,0,0,,,,,,,,,,,,
13,5,SEA,0,0,0,0,0,,,,,,,,,,,,
13,6,SEA,0,0,0,0,0,,,,,,,,,,,,
13,7,SEA,0,0,0,0,0,,,,,,,,,,,,
13,8,SEA,0,0,0,0,0,,,,,,,,,,,,
13,9,SEA,0,0,0,0,0,,,,,,,,,,,,
13,10,SEA,0,0,0,0,0,,,,,,,,,,,,
13,11,SEA,0,0,0,0,0,,,,,,,,,,,,
13,12,SEA,0,0,0,0,0,,,,,,,,,,,,
13,13,SEA,0,0,0,0,0,,,,,,,,,,,,
13,14,SEA,0,0,0,0,0,,,,,,,,,,,,
13,15,SEA,0,0,0,0,0,,,,,,,,,,,,
14,1,SEA,0,0,0,0,0,,,,,,,,,,,,
14,2,SEA,0,0,0,0,0,,,,,,,,,,,,
14,3,SEA,0,0,0,0,0,,,,,,,,,,,,
14,4,SEA,0,0,0,0,0,,,,,,,,,,,,
14,5,SEA,0,0,0,0,0,,,,,,,,,,,,
14,6,SEA,0,0,0,0,0,,,,,,,,,,,,
14,7,SEA,0,0,0,0,0,,,,,,,,,,,,
14,8,SEA,0,0,0,0,0,,,,,,,,,,,,
14,9,SEA,0,0,0,0,0,,,,,,,,,,,,
14,10,SEA,0,0,0,0,0,,,,,,,,,,,,
14,11,SEA,0,0,0,0,0,,,,,,,,,,,,
14,12,SEA,0,0,0,0,0,,,,,,,,,,,,
14,13,SEA,0,0,0,0,0,,,,,,,,,,,,
14,14,SEA,0,0,0,0,0,,,,,,,,,,,,
14,15,SEA,0,0,0,0,0,,,,,,,,,,,,
15,1,OKINAWA,145,2281,635,15,1.256,,,,,,,,,,,,
15,2,SEA,0,0,0,0,0,,,,,,,,,,,,
15,3,SEA,0,0,0,0,0,,,,,,,,,,,,
15,4,SEA,0,0,0,0,0,,,,,,,,,,,,
15,5,SEA,0,0,0,0,0,,,,,,,,,,,,
15,6,SEA,0,0,0,0,0,,,,,,,,,,,,
15,7,SEA,0,0,0,0,0,,,,,,,,,,,,
15,8,SEA,0,0,0,0,0,,,,,,,,,,,,
15,9,SEA,0,0,0,0,0,,,,,,,,,,,,
15,10,SEA,0,0,0,0,0,,,,,,,,,,,,
15,11,SEA,0,0,0,0,0,,,,,,,,,,,,
15,12,SEA,0,0,0,0,0,,,,,,,,,,,,
15,13,SEA,0,0,0,0,0,,,,,,,,,,,,
15,14,SEA,0,0,0,0,0,,,,,,,,,,,,
15,15,SEA,0,0,0,0,0,,,,,,,,,,,,
